17																		
#n palm	palmol stear olein linol arah	linole eikos	NA	Ca	SA	Si	IS	CS	EL	WL Um								
48	20.8	30.5	73.5	16.8	25	36.9	0	0	0	0	0	0	0	1	0	0	EL	47
50.7	24.5	39.5	69.2	21.7	25	46.6	0	0	0	0	0	0	0	1	0	0	EL	48
36.4	24.5	43.9	76.8	22.7	11.1	27.2	0	0	0	0	0	0	0	1	0	0	EL	49
0	24.5	35	100	19.8	0	17.5	0	0	0	0	0	0	0	1	0	0	EL	50
44.4	43.4	26	59.2	54	0	0	0	0	0	0	0	0	0	0	1	0	WL	2
36.4	32.1	30.5	58.3	56.9	0	0	0	0	0	0	0	0	0	0	1	0	WL	3
40.9	39.6	26	61.6	53	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	4
35.6	28.3	88.8	55.9	58.9	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	5
40	47.2	39.5	65.4	37.4	11.1	36.9	0	0	0	0	0	0	0	0	1	0	WL	6
40	47.2	52.9	62.6	42.3	11.1	17.5	0	0	0	0	0	0	0	0	1	0	WL	7
37.3	32.1	35	68.2	44.2	0	0	0	0	0	0	0	0	0	0	1	0	WL	8
45.3	43.4	43.9	58.3	51.1	0	0	0	0	0	0	0	0	0	0	1	0	WL	9
37.3	35.8	30.5	69.2	52.1	0	0	0	0	0	0	0	0	0	0	1	0	WL	10
40.9	32.1	35	61.6	53	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	11
47.1	62.3	30.5	62.1	39.3	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	12
42.7	62.3	35	61.1	40.3	11.1	36.9	0	0	0	0	0	0	0	0	1	0	WL	13
32.9	35.8	66.4	67.3	45.2	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	14
32.9	28.3	79.8	58.8	57.9	0	0	0	0	0	0	0	0	0	0	1	0	WL	15
31.1	28.3	21.5	71.6	48.1	0	0	0	0	0	0	0	0	0	0	1	0	WL	16
33.8	28.3	26	70.1	47.2	0	0	0	0	0	0	0	0	0	0	1	0	WL	17
40	39.6	26	61.6	55	0	0	0	0	0	0	0	0	0	0	1	0	WL	18
56	50.9	43.9	62.1	27.6	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	19
40	28.3	70.9	73.5	23.7	0	0	0	0	0	0	0	0	0	0	1	0	WL	20
36.4	32.1	61.9	62.6	50.1	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	21
32	28.3	30.5	66.4	56	0	0	0	0	0	0	0	0	0	0	1	0	WL	22
50.7	43.4	30.5	54.5	55	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	23
40	47.2	39.5	65.9	39.3	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	24
33.8	32.1	43.9	63	56.9	0	0	0	0	0	0	0	0	0	0	1	0	WL	25
35.6	28.3	88.8	63	48.1	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	26
38.2	28.3	43.9	70.1	36.4	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	27
38.2	28.3	43.9	71.6	35.4	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	28
36.4	28.3	88.8	62.6	46.2	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	29
36.4	28.3	48.4	62.6	55	0	0	0	0	0	0	0	0	0	0	1	0	WL	30
35.6	28.3	88.8	62.1	47.2	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	31
27.6	35.8	84.3	67.3	45.2	0	0	0	0	0	0	0	0	0	0	1	0	WL	32
37.3	32.1	43.9	66.8	44.2	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	33
31.1	28.3	66.4	72	37.4	0	0	0	0	0	0	0	0	0	0	1	0	WL	34
37.3	35.8	26	71.6	38.4	0	0	0	0	0	0	0	0	0	0	1	0	WL	35
35.6	32.1	39.5	66.8	45.2	11.1	17.5	0	0	0	0	0	0	0	0	1	0	WL	36
36.4	28.3	39.5	71.1	39.3	0	0	0	0	0	0	0	0	0	0	1	0	WL	37
45.3	28.3	66.4	64	37.4	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	38
42.7	28.3	61.9	66.8	34.4	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	39
43.6	39.6	57.4	63	31.5	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	40
42.7	24.5	39.5	72	30.5	11.1	0	0	0	0	0	0	0	0	0	1	0	WL	41
48	28.3	43.9	67.3	35.4	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	42
44.4	28.3	35	71.6	29.5	0	7.8	0	0	0	0	0	0	0	0	1	0	WL	43
35.6	35.8	26	67.3	49.1	0	0	0	0	0	0	0	0	0	0	1	0	WL	44
40.9	32.1	30.5	67.8	41.3	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	45
59.6	35.8	61.9	56.4	33.5	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	46
40	32.1	52.9	68.2	35.4	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	47
35.6	28.3	26	67.3	51.1	0	0	0	0	0	0	0	0	0	0	1	0	WL	48
33.8	39.6	43.9	68.7	41.3	11.1	7.8	0	0	0	0	0	0	0	0	1	0	WL	49
31.1	24.5	39.5	78.2	28.6	11.1	17.5	0	0	0	0	0	0	0	0	1	0	WL	50
42.2	20.8	14.8	78.4	14.9	31.9	51.5	0	0	0	0	0	0	0	0	0	1	Um	2
42.7	17	17	78.2	14.9	36.1	43.7	0	0	0	0	0	0	0	0	0	1	Um	3
41.8	18.9	16.6	78.7	15.1	45.8	17.5	0	0	0	0	0	0	0	0	0	1	Um	4
42.7	17	19.3	78.4	14.9	36.1	38.8	0	0	0	0	0	0	0	0	0	1	Um	5
44	15.1	21.5	75.8	14.9	48.6	51.5	0	0	0	0	0	0	0	0	0	1	Um	6
40	22.6	10.3	79.4	15.9	25	51.5	0	0	0	0	0	0	0	0	0	1	Um	7
39.1	20.8	8.1	79.5	15.4	36.1	61.2	0	0	0	0	0	0	0	0	0	1	Um	8
43.6	15.1	20.6	76.1	14.9	45.8	46.6	0	0	0	0	0	0	0	0	0	1	Um	9
40.4	18.9	11.7	78.9	15.4	27.8	61.2	0	0	0	0	0	0	0	0	0	1	Um	10
42.2	17	16.1	78.4	15.1	38.9	46.6	0	0	0	0	0	0	0	0	0	1	Um	11
41.8	18.9	12.6	78.7	15.4	31.9	51.5	0	0	0	0	0	0	0	0	0	1	Um	12
42.2	17	17	78.4	15.1	38.9	49.5	0	0	0	0	0	0	0	0	0	1	Um	13
41.3	20	19.3	78.7	15.1	25	36.9	0	0	0	0	0	0	0	0	0	1	Um	14
42.7	16.2	17.9	78.2	14.9	45.8	36.9	0	0	0	0	0	0	0	0	0	1	Um	15
43.1	17	20.6	78	14.9	50	31.1	0	0	0	0	0	0	0	0	0	1	Um	16
42.7	16.2	19.3	78.2	14.9	38.9	38.8	0	0	0	0	0	0	0	0	0	1	Um	17
43.1	16.2	20.6	78.2	15.1	45.8	29.1	0	0	0	0	0	0	0	0	0	1	Um	18
42.7	16.2	19.3	77.7	14.9	45.8	38.8	0	0	0	0	0	0	0	0	0	1	Um	19
43.1	16.2	20.6	78	14.9	45.8	31.1	0	0	0	0	0	0	0	0	0	1	Um	20
43.1	15.1	21.5	77.7	14.9	45.8	41.7	0	0	0	0	0	0	0	0	0	1	Um	21
41.8	20.8	16.1	78.9	15.7	36.1	33	0	0	0	0	0	0	0	0	0	1	Um	22
42.7	17	19.3	78.2	14.9	41.7	35	0	0	0	0	0	0	0	0	0	1	Um	23
44	15.1	21.5	75.8	14.4	51.4	52.4	0	0	0	0	0	0	0	0	0	1	Um	24
44.4	13.2	23.8	75.8	14.4	52.8	48.5	0	0	0	0	0	0	0	0	0	1	Um	25
41.3	20.8	20.6	79.5	15.7	36.1	30.1	0	0	0	0	0	0	0	0	0	1	Um	26
41.3	18.9	14.8	79.6	15.7	45.8	38.8	0	0	0	0	0	0	0	0	0	1	Um	27
40.4	22.6	12.6	79.4	15.9	31.9	46.6	0	0	0	0	0	0	0	0	0	1	Um	28
40.9	22.6	16.1	79.6	15.1	27.8	41.7	0	0	0	0	0	0	0	0	0	1	Um	29
40.9	22.6	16.1	79.6	15.1	27.8	41.7	0	0	0	0	0	0	0	0	0	1	Um	30
43.6	20.8	21.5	76.3	15.9	51.4	40.8	0	0	0	0	0	0	0	0	0	1	Um	31
41.3	20.8	14.8	78.7	15.9	27.8	54.4	0	0	0	0	0	0	0	0	0	1	Um	32
39.1	23.8	10.3	80.1	15.9	22.2	55.3	0	0	0	0	0	0	0	0	0	1	Um	33
42.7	17	20.6	78	14.9	41.7	32	0	0	0	0	0	0	0	0	0	1	Um	34
39.1	23.8	16.1	80.1	15.7	36.1	20.4	0	0	0	0	0	0	0	0	0	1	Um	35
41.3	20.8	17	79.4	15.4	36.1	24.3	0	0	0	0	0	0	0	0	0	1	Um	36
43.4	14.7	22.4	78	14.4	55.6	29.1	0	0	0	0	0	0	0	0	0	1	Um	37
44	0	20.6	80.8	12.4	69.4	17.5	0	0	0	0	0	0	0	0	0	1	Um	38
44.4	22.6	30.5	76.5	6.1	73.6	61.2	0	0	0	0	0	0	0	0	0	1	Um	39
39.8	13.2	11.7	80	17.4	52.8	51.5	0	0	0	0	0	0	0	0	0	1	Um	40
44.9	5.7	32.7	78.4	14.9	73.6	12.6	0	0	0	0	0	0	0	0	0	1	Um	41
44	5.7	20.6	80.3	11.9	69.4	17.5	0	0	0	0	0	0	0	0	0	1	Um	42
41.1	12.8	11.7	79.6	16.3	63.9	44.7	0	0	0	0	0	0	0	0	0	1	Um	43
44.4	0	26	80.1	11.9	66.7	17.5	0	0	0	0	0	0	0	0	0	1	Um	44
44.4	24.5	28.3	76.3	7.5	66.7	56.3	0	0	0	0	0	0	0	0	0	1	Um	45
39.6	17	10.3	79.9	16.8	59.7	46.6	0	0	0	0	0	0	0	0	0	1	Um	46
43.6	24.5	28.3	77.3	8.5	59.7	56.3	0	0	0	0	0	0	0	0	0	1	Um	47
44	15.1	23.8	78.9	14.9	31.9	17.5	0	0	0	0	0	0	0	0	0	1	Um	48
43.1	13.2	26	78.1	14.9	31.9	32	0	0	0	0	0	0	0	0	0	1	Um	49
44.4	13.2	30.5	78.2	14.9	69.4	7.8	0	0	0	0	0	0	0	0	0	1	Um	50
42.8	8.3	26	78.4	14.9	52.8	36.9	0	0	0	0	0	0	0	0	0	1	Um	51
65.5	67.5	20.2	46.3	43.7	31.9	42.7	23.2	0	0	1	0	0	0	0	0	0	SA	2
67	71.3	32.7	29.8	62.2	26.4	46.6	21.4	0	0	1	0	0	0	0	0	0	SA	3
71.1	69.4	28.7	39.3	49.6	26.4	44.7	30.4	0	0	1	0	0	0	0	0	0	SA	4
68.8	61.5	25.1	38.2	53.9	37.5	63.1	42.9	0	0	1	0	0	0	0	0	0	SA	5
71.3	64.2	29.1	25.7	73.9	44.4	68	53.6	0	0	1	0	0	0	0	0	0	SA	6
71.1	81.9	57.4	19.7	76.8	41.7	56.3	39.3	0	0	1	0	0	0	0	0	0	SA	7
79.9	73.2	47.1	16.4	77.5	55.6	58.3	50	0	0	1	0	0	0	0	0	0	SA	8
62.8	68.7	46.6	34.9	60.6	52.8	56.3	35.7	0	0	1	0	0	0	0	0	0	SA	9
60.1	66.8	22.9	39.4	59.2	50	61.2	46.4	0	0	1	0	0	0	0	0	0	SA	10
58.9	66.4	22.4	26.6	83.7	56.9	66	46.4	0	0	1	0	0	0	0	0	0	SA	11
75.8	63.4	13.9	21.2	84.1	47.2	56.3	39.3	0	0	1	0	0	0	0	0	0	SA	12
70.1	64.9	17.5	26.6	76.8	50	56.3	26.8	0	0	1	0	0	0	0	0	0	SA	13
71.4	67.2	25.1	27.3	73.8	38.9	56.3	28.6	0	0	1	0	0	0	0	0	0	SA	14
67.5	72.1	22.9	30.9	70.5	45.8	46.6	25	0	0	1	0	0	0	0	0	0	SA	15
78	59.2	8.1	29.4	68.1	48.6	50.5	21.4	0	0	1	0	0	0	0	0	0	SA	16
63.4	54.7	23.8	29	83.2	30.6	46.6	26.8	0	0	1	0	0	0	0	0	0	SA	17
62.3	57	8.1	28.5	84.5	54.2	65	46.4	0	0	1	0	0	0	0	0	0	SA	18
60.1	55.8	13.9	35.1	76.5	37.5	53.4	17.9	0	0	1	0	0	0	0	0	0	SA	19
68.4	59.6	16.1	35	67.6	40.3	40.8	21.4	0	0	1	0	0	0	0	0	0	SA	20
69.7	56.2	31.8	37.3	58.1	30.6	39.8	37.5	0	0	1	0	0	0	0	0	0	SA	21
63.5	60	20.6	26.7	82.3	47.2	66	33.9	0	0	1	0	0	0	0	0	0	SA	22
60.4	53.6	17.9	33.2	79.7	33.3	47.6	30.4	0	0	1	0	0	0	0	0	0	SA	23
66.8	55.8	19.7	27.9	80.7	48.6	54.4	39.3	0	0	1	0	0	0	0	0	0	SA	24
69.1	63	40.4	29.1	63.9	58.3	64.1	50	0	0	1	0	0	0	0	0	0	SA	25
67.5	62.3	13	33.2	66.7	51.4	41.7	39.3	0	0	1	0	0	0	0	0	0	SA	26
61.6	56.6	10.3	34.4	77.8	40.3	37.9	25	0	0	1	0	0	0	0	0	0	SA	27
65.4	54.7	7.6	36.6	68.8	51.4	44.7	23.2	0	0	1	0	0	0	0	0	0	SA	28
67.5	58.9	14.3	30.2	78.1	38.9	44.7	23.2	0	0	1	0	0	0	0	0	0	SA	29
61.8	59.2	7.6	33.4	79.5	36.1	46.6	16.1	0	0	1	0	0	0	0	0	0	SA	30
65.9	61.9	15.2	30.1	77.8	47.2	46.6	30.4	0	0	1	0	0	0	0	0	0	SA	31
59.8	51.3	13.5	33.2	80.5	52.8	48.5	33.9	0	0	1	0	0	0	0	0	0	SA	32
74.6	60.4	20.6	27.6	69.9	52.8	66	35.7	0	0	1	0	0	0	0	0	0	SA	33
62.2	62.3	13.9	35.7	73.8	33.3	29.1	17.9	0	0	1	0	0	0	0	0	0	SA	34
66.7	55.8	10.8	28.5	81.4	36.1	61.2	44.6	0	0	1	0	0	0	0	0	0	SA	35
61.3	64.9	19.7	29.4	78.8	54.2	71.8	41.1	0	0	1	0	0	0	0	0	0	SA	36
67.4	58.9	29.6	33.6	59.6	54.2	50.5	42.9	0	0	1	0	0	0	0	0	0	SA	37
53.1	51.3	1.8	40.7	76.9	34.7	47.6	21.4	0	0	1	0	0	0	0	0	0	SA	38
65.6	52.5	13.9	29.2	81.1	63.9	52.4	25	0	0	1	0	0	0	0	0	0	SA	39
64.4	64.5	34.5	45.5	37.1	44.4	52.4	32.1	0	0	1	0	0	0	0	0	0	SA	40
61.4	53.2	24.7	33.3	76.4	54.2	44.7	21.4	0	0	1	0	0	0	0	0	0	SA	41
54.8	62.6	27.4	31.3	76.5	62.5	69.9	42.9	0	0	1	0	0	0	0	0	0	SA	42
52.5	57.7	17	37.9	75.1	56.9	60.2	25	0	0	1	0	0	0	0	0	0	SA	43
61.1	52.1	11.2	33.4	79.5	45.8	56.3	25	0	0	1	0	0	0	0	0	0	SA	44
56.7	55.8	2.7	38.1	75.7	40.3	56.3	21.4	0	0	1	0	0	0	0	0	0	SA	45
64.4	54.3	20.2	31.9	75.5	47.2	56.3	26.8	0	0	1	0	0	0	0	0	0	SA	46
54.1	57.4	8.5	37.3	78.9	45.8	46.6	25	0	0	1	0	0	0	0	0	0	SA	47
62.9	61.9	11.2	34.6	73	45.8	38.8	41.1	0	0	1	0	0	0	0	0	0	SA	48
58.1	57.4	6.3	39.3	72.3	27.8	48.5	17.9	0	0	1	0	0	0	0	0	0	SA	49
52.5	60.4	22	39.3	72.9	47.2	45.6	23.2	0	0	1	0	0	0	0	0	0	SA	50
57.1	62.3	13	35.8	75	40.3	55.3	64.3	0	0	1	0	0	0	0	0	0	SA	51
58.9	63	25.6	31.5	72.7	56.9	69.9	37.5	0	0	1	0	0	0	0	0	0	SA	52
65.9	61.9	8.1	34.8	69.1	45.8	62.1	14.3	0	0	1	0	0	0	0	0	0	SA	53
64.5	52.8	26.9	38.1	62.4	43.1	51.5	32.1	0	0	1	0	0	0	0	0	0	SA	54
79	70.2	13.5	23.8	74	38.9	52.4	39.3	0	0	1	0	0	0	0	0	0	SA	55
72.4	69.1	18.4	34.7	58	40.3	48.5	26.8	0	0	1	0	0	0	0	0	0	SA	56
66.5	71.3	33.6	31.4	64.7	54.2	61.2	57.1	0	0	1	0	0	0	0	0	0	SA	57
65.4	62.6	47.1	40.1	47.5	52.8	56.3	60.7	0	0	1	0	0	0	0	0	0	SA	58
69.5	64.5	46.6	20.5	81.2	70.8	60.2	48.2	0	0	1	0	0	0	0	0	0	SA	59
62.3	57	31.4	33.5	68.4	54.2	75.7	44.6	0	0	1	0	0	0	0	0	0	SA	60
62.6	58.9	34.5	29.5	73.4	62.5	71.8	71.4	0	0	1	0	0	0	0	0	0	SA	61
71	69.8	24.7	25.7	75.9	40.3	56.3	44.6	0	0	1	0	0	0	0	0	0	SA	62
65.1	60	30.9	32.8	68.4	47.2	60.2	37.5	0	0	1	0	0	0	0	0	0	SA	63
69.1	63	24.2	37.9	56	44.4	50.5	26.8	0	0	1	0	0	0	0	0	0	SA	64
71.4	70.6	23.8	29.4	70.2	47.2	42.7	19.6	0	0	1	0	0	0	0	0	0	SA	65
72.9	73.2	32.7	23.7	73.6	41.7	55.3	44.6	0	0	1	0	0	0	0	0	0	SA	66
64.5	64.2	31.8	31.1	69.2	75	68.9	25	0	0	1	0	0	0	0	0	0	SA	67
67.7	69.8	21.5	29.2	72.5	43.1	46.6	35.7	0	0	1	0	0	0	0	0	0	SA	68
64	53.6	34.1	35.8	64.6	55.6	51.5	41.1	0	0	1	0	0	0	0	0	0	SA	69
71.3	72.5	25.1	24.7	77.4	47.2	47.6	46.4	0	0	1	0	0	0	0	0	0	SA	70
63.2	73.2	29.1	30.7	71.4	55.6	58.3	37.5	0	0	1	0	0	0	0	0	0	SA	71
70.3	69.8	29.1	32.2	61.2	52.8	64.1	33.9	0	0	1	0	0	0	0	0	0	SA	72
70.3	75.1	29.1	20.6	82.7	58.3	65	44.6	0	0	1	0	0	0	0	0	0	SA	73
75.3	57.7	40.4	20.1	80	72.2	55.3	50	0	0	1	0	0	0	0	0	0	SA	74
74.8	69.4	30.9	25.4	71.3	48.6	47.6	48.2	0	0	1	0	0	0	0	0	0	SA	75
73.6	72.1	43	24	71.9	44.4	53.4	46.4	0	0	1	0	0	0	0	0	0	SA	76
75.7	71.3	38.1	16.3	84.2	55.6	50.5	46.4	0	0	1	0	0	0	0	0	0	SA	77
81.7	75.5	22.9	14.3	84.3	59.7	65	44.6	0	0	1	0	0	0	0	0	0	SA	78
80	65.7	41.7	21.4	72.4	47.2	48.5	46.4	0	0	1	0	0	0	0	0	0	SA	79
73.5	78.1	14.3	23.8	77.5	56.9	52.4	25	0	0	1	0	0	0	0	0	0	SA	80
63.7	43	42.6	34.3	69.4	50	52.4	35.7	0	0	1	0	0	0	0	0	0	SA	81
73.6	59.2	44.8	15.6	91.2	52.8	60.2	39.3	0	0	1	0	0	0	0	0	0	SA	82
74.4	60.8	16.6	26	71.6	55.6	60.2	42.9	0	0	1	0	0	0	0	0	0	SA	83
66.2	48.7	27.8	31.8	73.4	43.1	56.3	39.3	0	0	1	0	0	0	0	0	0	SA	84
67.5	53.2	39.9	28	74.5	55.6	59.2	50	0	0	1	0	0	0	0	0	0	SA	85
76.5	65.3	55.6	18.8	80.3	44.4	47.6	25	0	0	1	0	0	0	0	0	0	SA	86
75.2	61.9	39.5	20.8	80.1	54.2	61.2	21.4	0	0	1	0	0	0	0	0	0	SA	87
62.6	47.2	24.7	34.1	75.5	36.1	55.3	17.9	0	0	1	0	0	0	0	0	0	SA	88
70.9	60.8	17.9	28.9	73.1	59.7	46.6	41.1	0	0	1	0	0	0	0	0	0	SA	89
70	59.2	17.5	38.2	55.8	47.2	46.6	48.2	0	0	1	0	0	0	0	0	0	SA	90
71.4	66.4	15.2	30.2	71.6	40.3	42.7	19.6	0	0	1	0	0	0	0	0	0	SA	91
82.6	67.5	27.4	22	71.4	50	54.4	25	0	0	1	0	0	0	0	0	0	SA	92
61.7	54.3	36.8	34.1	71	50	49.5	30.4	0	0	1	0	0	0	0	0	0	SA	93
65	54.7	35.4	34.7	60.8	52.8	63.1	55.4	0	0	1	0	0	0	0	0	0	SA	94
79.8	72.8	43.5	16.2	84.4	31.9	39.8	32.1	0	0	1	0	0	0	0	0	0	SA	95
80.4	79.6	47.1	14	82.1	54.2	59.2	25	0	0	1	0	0	0	0	0	0	SA	96
58	56.6	37.2	38.9	65.1	41.7	47.6	33.9	0	0	1	0	0	0	0	0	0	SA	97
62	68.7	38.6	33.3	68.1	48.6	46.6	39.3	0	0	1	0	0	0	0	0	0	SA	98
60.8	54.3	45.3	33.6	72.6	38.9	48.5	19.6	0	0	1	0	0	0	0	0	0	SA	99
75.6	64.9	28.3	25.7	70.8	45.8	52.4	53.6	0	0	1	0	0	0	0	0	0	SA	100
77	64.9	22.9	25.5	73.3	47.2	44.7	35.7	0	0	1	0	0	0	0	0	0	SA	101
77.5	61.5	20.2	24.4	73.7	52.8	60.2	39.3	0	0	1	0	0	0	0	0	0	SA	102
69.2	60.8	14.8	33.6	64.9	63.9	49.5	51.8	0	0	1	0	0	0	0	0	0	SA	103
67.3	59.2	37.2	36.3	59.3	45.8	41.7	42.9	0	0	1	0	0	0	0	0	0	SA	104
58.8	72.5	23.8	40.4	63.6	48.6	48.5	35.7	0	0	1	0	0	0	0	0	0	SA	105
63.4	53.6	36.8	39.4	56.2	50	54.4	51.8	0	0	1	0	0	0	0	0	0	SA	106
53	76.6	40.4	42.3	54.2	48.6	50.5	41.1	0	0	1	0	0	0	0	0	0	SA	107
68.7	53.6	29.1	34	62.8	52.8	56.3	62.5	0	0	1	0	0	0	0	0	0	SA	108
81	66	38.6	31.1	52.6	47.2	46.6	37.5	0	0	1	0	0	0	0	0	0	SA	109
65.8	57.7	33.6	32.5	70.2	37.5	54.4	26.8	0	0	1	0	0	0	0	0	0	SA	110
72.2	62.6	29.6	24.3	76.5	38.9	55.3	33.9	0	0	1	0	0	0	0	0	0	SA	111
61.2	57	32.3	32.5	69.9	44.4	61.2	51.8	0	0	1	0	0	0	0	0	0	SA	112
74.4	83.4	41.7	14.5	86.9	43.1	47.6	33.9	0	0	1	0	0	0	0	0	0	SA	113
65.5	68.7	26.5	23.5	83.4	41.7	55.3	57.1	0	0	1	0	0	0	0	0	0	SA	114
64.8	58.5	45.3	32.7	64.8	37.5	59.2	37.5	0	0	1	0	0	0	0	0	0	SA	115
69.2	63.4	28.7	26.9	74.4	36.1	57.3	33.9	0	0	1	0	0	0	0	0	0	SA	116
81.5	92.5	35.9	8.9	90.2	40.3	41.7	32.1	0	0	1	0	0	0	0	0	0	SA	117
78.7	83.8	37.7	12.8	85.1	41.7	54.4	42.9	0	0	1	0	0	0	0	0	0	SA	118
78	87.2	44.4	9.7	92.2	37.5	49.5	30.4	0	0	1	0	0	0	0	0	0	SA	119
70.1	62.3	35.9	26.3	72.6	41.7	62.1	35.7	0	0	1	0	0	0	0	0	0	SA	120
78.1	75.5	40.4	22.6	68.2	38.9	56.3	35.7	0	0	1	0	0	0	0	0	0	SA	121
64.8	57	33.2	29.8	73.4	38.9	56.3	37.5	0	0	1	0	0	0	0	0	0	SA	122
77.5	87.2	38.6	6.8	99.2	34.7	46.6	32.1	0	0	1	0	0	0	0	0	0	SA	123
73.2	59.2	46.2	16.4	88.6	34.7	55.3	41.1	0	0	1	0	0	0	0	0	0	SA	124
65.5	53.2	27.8	26.1	84.6	31.9	44.7	30.4	0	0	1	0	0	0	0	0	0	SA	125
64.9	54	36.3	26	80.6	41.7	59.2	41.1	0	0	1	0	0	0	0	0	0	SA	126
74.9	62.3	41.3	21.4	77.3	44.4	50.5	37.5	0	0	1	0	0	0	0	0	0	SA	127
61.9	50.6	33.2	37.1	63.5	43.1	57.3	39.3	0	0	1	0	0	0	0	0	0	SA	128
65.7	55.1	29.1	33	67.5	40.3	58.3	37.5	0	0	1	0	0	0	0	0	0	SA	129
57.2	51.3	23.8	48.3	48.8	36.1	50.5	37.5	0	0	1	0	0	0	0	0	0	SA	130
49.6	48.7	30.5	44.1	64.7	40.3	48.5	46.4	0	0	1	0	0	0	0	0	0	SA	131
65.4	57.4	32.3	31.2	64.9	38.9	45.6	37.5	0	0	1	0	0	0	0	0	0	SA	132
69.3	63.8	26.9	28.3	72.5	37.5	40.8	30.4	0	0	1	0	0	0	0	0	0	SA	133
60.3	50.6	32.3	36.8	64.2	38.9	53.4	53.6	0	0	1	0	0	0	0	0	0	SA	134
53.7	46	35.9	45.9	54.5	41.7	51.5	37.5	0	0	1	0	0	0	0	0	0	SA	135
78.3	80	23.8	30.4	52.8	43.1	64.1	57.1	0	0	1	0	0	0	0	0	0	SA	136
77.2	76.6	24.7	35	43	47.2	61.2	60.7	0	0	1	0	0	0	0	0	0	SA	137
74.2	60	34.1	27.3	66	37.5	65	51.8	0	0	1	0	0	0	0	0	0	SA	138
73.7	63.4	29.6	22.5	76.1	41.7	62.1	48.2	0	0	1	0	0	0	0	0	0	SA	139
69.1	52.5	23.3	32.7	62.8	44.4	69.9	53.6	0	0	1	0	0	0	0	0	0	SA	140
72.5	58.1	17.9	34.4	58.2	40.3	60.2	44.6	0	0	1	0	0	0	0	0	0	SA	141
74.8	69.8	25.1	32.2	54.6	38.9	58.3	51.8	0	0	1	0	0	0	0	0	0	SA	142
78.5	71.3	16.1	29.1	58.3	41.7	57.3	58.9	0	0	1	0	0	0	0	0	0	SA	143
71.9	66.8	24.7	33	55.4	47.2	66	60.7	0	0	1	0	0	0	0	0	0	SA	144
65.1	61.1	21.1	41.3	49.3	44.4	61.2	55.4	0	0	1	0	0	0	0	0	0	SA	145
65.7	51.7	37.7	40	49	45.8	70.9	48.2	0	0	1	0	0	0	0	0	0	SA	146
73.8	68.3	25.1	30.2	60.9	41.7	57.3	42.9	0	0	1	0	0	0	0	0	0	SA	147
75.6	75.5	20.2	29.3	61.9	36.1	51.5	37.5	0	0	1	0	0	0	0	0	0	SA	148
56.8	44.5	23.8	52.9	37.1	43.1	68	55.4	0	0	1	0	0	0	0	0	0	SA	149
65.6	54.3	38.6	34	61.9	40.3	63.1	41.1	0	0	1	0	0	0	0	0	0	SA	150
65	52.8	41.3	31.2	68.1	41.7	64.1	42.9	0	0	1	0	0	0	0	0	0	SA	151
70	50.6	23.3	41.8	44.9	37.5	71.8	50	0	0	1	0	0	0	0	0	0	SA	152
75	69.8	21.1	28.9	62.8	38.9	58.3	41.1	0	0	1	0	0	0	0	0	0	SA	153
64.4	52.1	30	29.8	75	43.1	62.1	39.3	0	0	1	0	0	0	0	0	0	SA	154
73.6	71.3	16.6	38.2	45.2	43.1	59.2	44.6	0	0	1	0	0	0	0	0	0	SA	155
61.6	46.4	26.9	41.2	55.6	44.4	65	41.1	0	0	1	0	0	0	0	0	0	SA	156
63.4	49.8	26	38.3	60.9	43.1	57.3	32.1	0	0	1	0	0	0	0	0	0	SA	157
71.7	58.1	24.7	27.3	72	44.4	53.4	44.6	0	0	1	0	0	0	0	0	0	SA	158
66.7	57.4	32.7	27.6	75.5	40.3	51.5	44.6	0	0	1	0	0	0	0	0	0	SA	159
72	61.9	27.8	29.5	65.9	43.1	52.4	44.6	0	0	1	0	0	0	0	0	0	SA	160
76.6	76.6	27.8	20.1	77.3	37.5	49.5	37.5	0	0	1	0	0	0	0	0	0	SA	161
67.4	60	23.8	35.2	60.5	40.3	53.4	42.9	0	0	1	0	0	0	0	0	0	SA	162
67.3	59.6	34.1	30.7	67.8	41.7	49.5	39.3	0	0	1	0	0	0	0	0	0	SA	163
